2010,mm,dd,HH,SEK/kWh,C,COP
569,1,24,17,0.91,-6.6,4.2172
570,1,24,18,0.98,-9.4,4.054799999999999
571,1,24,19,1.0,-8.4,4.1128
572,1,24,20,0.94,-10.1,4.0142
573,1,24,21,0.91,-10.8,3.9735999999999994
574,1,24,22,0.89,-10.3,4.002599999999999
575,1,24,23,0.88,-9.2,4.0664
576,1,24,24,0.85,-10.5,3.9909999999999997
577,1,25,1,0.87,-10.3,4.002599999999999
578,1,25,2,0.86,-11.4,3.9387999999999996
579,1,25,3,0.86,-10.6,3.9852
580,1,25,4,0.86,-10.2,4.0084
581,1,25,5,0.88,-10.6,3.9852
