Månad,Dag,Timme,Årstimme,Meteonorm Lkp Utetemp (grad C),Meteonorm Lkp Utetemp heltal (grad C),SMHI Lkp 2015 Utetemp (grad C),SMHI Lkp 2015 Utetemp heltal (grad C),SMHI Lkp 2013 Utetemp (grad C),SMHI Lkp 2013 Utetemp heltal (grad C),SMHI Lkp 2010 Utetemp (grad C),SMHI Lkp 2010 Utetemp heltal (grad C)
6,25,19,4219,20.7, 21    , 15.80    , 16    ,17.9,18, 18.70    , 19    
6,25,20,4220,20.3, 20    , 14.50    , 15    ,17.1,17, 17.60    , 18    
6,25,21,4221,19.6, 20    , 13.40    , 13    ,16.8,17, 15.70    , 16    
6,25,22,4222,17.4, 17    , 12.40    , 12    ,16.4,16, 14.00    , 14    
6,25,23,4223,15.3, 15    , 11.60    , 12    ,15.6,16, 12.80    , 13    
6,25,24,4224,13.2, 13    , 10.80    , 11    ,13.9,14, 12.70    , 13    
6,26,1,4225,11.4, 11    , 10.60    , 11    ,13.7,14, 10.40    , 10    
6,26,2,4226,9.6, 10    , 10.30    , 10    ,13.8,14, 9.70    , 10    
6,26,3,4227,7.7, 8    , 9.70    , 10    ,13.6,14, 9.00    , 9    
6,26,4,4228,8.1, 8    , 9.20    , 9    ,13.5,14, 9.20    , 9    
6,26,5,4229,9.2, 9    , 9.10    , 9    ,13.9,14, 11.20    , 11    
6,26,6,4230,10.6, 11    , 10.00    , 10    ,13.9,14, 12.20    , 12    
6,26,7,4231,12.2, 12    , 11.10    , 11    ,13.8,14, 13.40    , 13    
6,26,8,4232,13.9, 14    , 12.10    , 12    ,13.8,14, 13.90    , 14    
6,26,9,4233,15.5, 16    , 13.40    , 13    ,13.6,14, 15.60    , 16    
6,26,10,4234,17.1, 17    , 14.50    , 15    ,13.9,14, 16.70    , 17    
6,26,11,4235,18.4, 18    , 15.60    , 16    ,14.2,14, 17.60    , 18    
6,26,12,4236,19.6, 20    , 16.40    , 16    ,14.6,15, 19.10    , 19    
6,26,13,4237,20.6, 21    , 16.70    , 17    ,14.9,15, 19.60    , 20    
6,26,14,4238,21.3, 21    , 17.00    , 17    ,15.5,16, 19.50    , 20    
6,26,15,4239,21.7, 22    , 16.00    , 16    ,16.1,16, 20.50    , 21    
6,26,16,4240,21.7, 22    , 15.80    , 16    ,17.3,17, 20.70    , 21    
6,26,17,4241,21.4, 21    , 15.80    , 16    ,15.8,16, 20.40    , 20    
6,26,18,4242,20.6, 21    , 15.60    , 16    ,13.8,14, 20.20    , 20    
6,26,19,4243,19.5, 20    , 15.00    , 15    ,13.5,14, 19.40    , 19    
6,26,20,4244,18.3, 18    , 14.40    , 14    ,13.7,14, 17.90    , 18    
6,26,21,4245,16.9, 17    , 14.10    , 14    ,13.3,13, 15.30    , 15    
6,26,22,4246,15.3, 15    , 13.80    , 14    ,13.1,13, 13.70    , 14    
6,26,23,4247,13.7, 14    , 13.50    , 14    ,13.1,13, 10.80    , 11    
6,26,24,4248,12, 12    , 12.30    , 12    ,13,13, 9.50    , 10    
6,27,1,4249,11.3, 11    , 12.20    , 12    ,13,13, 11.20    , 11    
6,27,2,4250,10.6, 11    , 12.60    , 13    ,12.9,13, 10.60    , 11    
6,27,3,4251,9.8, 10    , 12.30    , 12    ,12.9,13, 9.80    , 10    
